"applicant_id","dept","gender","admit"
315,"D","Female","Rejected"
316,"D","Female","Admitted"
317,"A","Male","Admitted"
318,"F","Female","Admitted"
319,"C","Female","Admitted"
320,"B","Female","Admitted"
321,"C","Female","Admitted"
322,"C","Female","Rejected"
323,"F","Male","Admitted"
324,"A","Male","Admitted"
325,"B","Male","Admitted"
326,"D","Female","Admitted"
327,"F","Male","Rejected"
328,"A","Male","Rejected"
329,"A","Male","Admitted"
330,"E","Female","Rejected"
331,"D","Female","Admitted"
332,"D","Male","Admitted"
333,"F","Male","Rejected"
334,"E","Female","Rejected"
335,"B","Male","Admitted"
336,"E","Female","Rejected"
337,"E","Female","Rejected"
338,"E","Female","Rejected"
339,"A","Male","Admitted"
340,"C","Female","Admitted"
341,"D","Male","Rejected"
342,"E","Male","Rejected"
343,"A","Male","Admitted"
344,"E","Female","Rejected"
345,"C","Female","Admitted"
346,"D","Male","Rejected"
347,"C","Male","Rejected"
348,"D","Male","Rejected"
349,"F","Female","Rejected"
350,"A","Male","Admitted"
351,"C","Male","Rejected"
352,"B","Male","Admitted"
353,"F","Female","Rejected"
354,"D","Male","Admitted"
355,"B","Male","Rejected"
356,"F","Male","Rejected"
357,"D","Female","Admitted"
358,"C","Female","Rejected"
359,"B","Male","Admitted"
360,"F","Female","Rejected"
361,"F","Female","Rejected"
362,"F","Female","Rejected"
363,"C","Female","Rejected"
364,"F","Male","Rejected"
365,"B","Male","Rejected"
366,"D","Female","Admitted"
367,"F","Male","Rejected"
368,"D","Male","Rejected"
369,"A","Male","Rejected"
370,"F","Male","Rejected"
371,"C","Female","Rejected"
372,"E","Female","Admitted"
373,"B","Male","Admitted"
374,"A","Male","Rejected"
375,"C","Male","Admitted"
376,"A","Male","Admitted"
377,"E","Male","Rejected"
378,"E","Male","Rejected"
379,"C","Female","Rejected"
380,"B","Male","Rejected"
381,"A","Male","Rejected"
382,"B","Male","Admitted"
383,"E","Male","Admitted"
384,"E","Female","Admitted"
385,"C","Female","Rejected"
386,"C","Female","Admitted"
387,"C","Female","Rejected"
388,"B","Male","Admitted"
389,"D","Male","Admitted"
390,"D","Male","Admitted"
391,"C","Female","Rejected"
392,"C","Female","Rejected"
393,"D","Female","Admitted"
394,"B","Male","Rejected"
395,"E","Female","Admitted"
396,"C","Female","Rejected"
397,"B","Male","Rejected"
398,"C","Male","Admitted"
399,"D","Male","Rejected"
400,"C","Male","Admitted"
401,"A","Male","Admitted"
402,"C","Female","Admitted"
403,"F","Male","Rejected"
404,"F","Male","Rejected"
405,"B","Male","Admitted"
406,"C","Male","Admitted"
407,"D","Female","Rejected"
408,"B","Male","Rejected"
409,"C","Female","Rejected"
410,"C","Male","Rejected"
411,"B","Male","Admitted"
412,"F","Female","Rejected"
413,"C","Male","Admitted"
414,"E","Female","Rejected"
415,"D","Female","Admitted"
416,"C","Male","Rejected"
417,"B","Male","Admitted"
418,"A","Male","Rejected"
419,"F","Female","Rejected"
420,"A","Male","Admitted"
421,"B","Male","Admitted"
422,"D","Male","Rejected"
423,"F","Male","Rejected"
424,"B","Male","Admitted"
425,"B","Male","Rejected"
426,"D","Female","Rejected"
427,"C","Male","Rejected"
428,"C","Female","Rejected"
429,"D","Male","Admitted"
430,"A","Male","Admitted"
431,"D","Male","Rejected"
432,"C","Female","Rejected"
433,"A","Male","Admitted"
434,"A","Female","Admitted"
435,"E","Female","Rejected"
436,"D","Female","Admitted"
437,"C","Female","Admitted"
438,"A","Male","Admitted"
439,"D","Male","Rejected"
440,"F","Female","Rejected"
441,"D","Female","Rejected"
442,"B","Male","Rejected"
443,"B","Male","Admitted"
444,"B","Male","Admitted"
445,"A","Male","Admitted"
446,"C","Male","Admitted"
447,"B","Male","Rejected"
448,"F","Male","Rejected"
449,"B","Male","Admitted"
450,"C","Female","Rejected"
451,"F","Male","Rejected"
452,"B","Male","Admitted"
453,"B","Male","Rejected"
454,"F","Male","Rejected"
455,"A","Male","Admitted"
456,"D","Female","Rejected"
457,"B","Male","Rejected"
458,"F","Male","Admitted"
459,"A","Male","Rejected"
460,"A","Male","Admitted"
461,"D","Male","Rejected"
462,"D","Female","Admitted"
463,"B","Male","Rejected"
464,"A","Male","Admitted"
465,"A","Male","Admitted"
466,"B","Male","Admitted"
467,"C","Female","Admitted"
468,"A","Male","Rejected"
469,"C","Male","Rejected"
470,"A","Male","Admitted"
471,"F","Male","Rejected"
472,"C","Male","Rejected"
473,"B","Male","Admitted"
474,"B","Male","Admitted"
475,"F","Male","Rejected"
476,"A","Male","Rejected"
477,"D","Male","Admitted"
478,"A","Male","Admitted"
479,"C","Male","Rejected"
480,"C","Male","Rejected"
481,"C","Male","Rejected"
482,"E","Male","Rejected"
483,"E","Female","Rejected"
484,"D","Female","Admitted"
485,"A","Male","Admitted"
486,"A","Male","Rejected"
487,"C","Male","Admitted"
488,"D","Male","Rejected"
489,"B","Male","Admitted"
490,"C","Male","Rejected"
491,"D","Male","Rejected"
492,"C","Female","Rejected"
493,"C","Female","Rejected"
494,"F","Female","Admitted"
495,"B","Male","Rejected"
496,"A","Female","Admitted"
497,"C","Female","Rejected"
498,"B","Male","Rejected"
499,"D","Male","Admitted"
500,"D","Male","Admitted"
501,"B","Male","Admitted"
502,"D","Female","Rejected"
503,"A","Male","Admitted"
504,"B","Male","Rejected"
505,"A","Male","Admitted"
506,"E","Female","Rejected"
507,"B","Male","Rejected"
508,"C","Female","Rejected"
509,"D","Male","Admitted"
510,"D","Female","Rejected"
511,"F","Male","Rejected"
512,"C","Male","Rejected"
513,"E","Male","Admitted"
514,"A","Male","Rejected"
515,"F","Male","Rejected"
516,"C","Female","Rejected"
517,"C","Female","Rejected"
518,"B","Male","Rejected"
519,"F","Male","Rejected"
520,"F","Female","Rejected"
521,"F","Male","Rejected"
522,"E","Female","Admitted"
523,"C","Male","Admitted"
524,"B","Male","Rejected"
525,"B","Male","Rejected"
526,"F","Female","Rejected"
527,"A","Male","Rejected"
528,"C","Female","Rejected"
529,"D","Male","Rejected"
530,"C","Female","Admitted"
531,"B","Male","Rejected"
532,"F","Female","Rejected"
533,"A","Male","Rejected"
534,"F","Male","Rejected"
535,"F","Male","Rejected"
536,"D","Female","Rejected"
537,"A","Female","Admitted"
538,"F","Female","Rejected"
539,"D","Female","Rejected"
540,"C","Female","Rejected"
541,"A","Male","Admitted"
542,"A","Male","Admitted"
543,"E","Female","Rejected"
544,"F","Female","Rejected"
545,"E","Male","Rejected"
546,"D","Male","Admitted"
547,"E","Female","Rejected"
548,"E","Female","Rejected"
549,"B","Male","Rejected"
550,"E","Female","Rejected"
551,"F","Male","Admitted"
552,"E","Female","Rejected"
553,"A","Male","Rejected"
554,"F","Male","Rejected"
555,"C","Female","Rejected"
556,"B","Male","Admitted"
557,"A","Male","Admitted"
558,"A","Male","Admitted"
559,"A","Male","Rejected"
560,"D","Male","Rejected"
561,"A","Male","Admitted"
562,"F","Male","Rejected"
563,"C","Male","Rejected"
564,"F","Male","Rejected"
565,"A","Male","Admitted"
566,"A","Male","Admitted"
567,"B","Male","Admitted"
568,"A","Male","Admitted"
569,"A","Female","Rejected"
570,"D","Male","Rejected"
571,"C","Female","Rejected"
572,"A","Male","Admitted"
573,"F","Female","Rejected"
574,"C","Male","Rejected"
575,"F","Female","Rejected"
576,"F","Male","Rejected"
577,"E","Male","Rejected"
578,"F","Female","Rejected"
579,"A","Male","Rejected"
580,"E","Female","Rejected"
581,"F","Female","Rejected"
582,"B","Male","Admitted"
583,"E","Female","Admitted"
584,"B","Male","Admitted"
585,"E","Female","Rejected"
586,"C","Female","Admitted"
587,"A","Female","Admitted"
588,"A","Male","Admitted"
589,"D","Male","Rejected"
590,"C","Female","Rejected"
591,"F","Female","Rejected"
592,"C","Male","Admitted"
593,"C","Male","Rejected"
594,"A","Male","Admitted"
595,"F","Male","Rejected"
596,"A","Male","Admitted"
597,"C","Female","Admitted"
598,"A","Male","Rejected"
599,"C","Male","Rejected"
600,"E","Male","Rejected"
601,"B","Male","Admitted"
602,"B","Female","Admitted"
603,"F","Female","Rejected"
604,"C","Female","Rejected"
605,"C","Male","Rejected"
606,"F","Male","Rejected"
607,"D","Male","Rejected"
608,"F","Female","Rejected"
609,"C","Female","Rejected"
610,"A","Male","Admitted"
611,"A","Male","Admitted"
612,"F","Female","Rejected"
613,"B","Male","Admitted"
614,"C","Female","Admitted"
615,"E","Female","Rejected"
616,"D","Male","Admitted"
617,"C","Male","Rejected"
618,"F","Male","Rejected"
619,"A","Male","Rejected"
620,"C","Female","Admitted"
621,"A","Male","Rejected"
622,"D","Female","Rejected"
623,"C","Female","Rejected"
624,"F","Male","Rejected"
625,"C","Male","Rejected"
626,"E","Male","Admitted"
627,"A","Male","Rejected"
628,"F","Male","Rejected"
629,"A","Male","Admitted"
630,"D","Female","Admitted"
631,"D","Male","Rejected"
632,"D","Male","Admitted"
633,"B","Female","Admitted"
634,"F","Female","Admitted"
635,"C","Male","Admitted"
636,"A","Male","Admitted"
637,"B","Male","Admitted"
638,"C","Male","Rejected"
639,"B","Male","Rejected"
640,"A","Male","Admitted"
641,"C","Female","Admitted"
642,"D","Female","Admitted"
643,"A","Male","Rejected"
644,"D","Female","Rejected"
645,"F","Female","Rejected"
646,"F","Male","Rejected"
647,"C","Female","Rejected"
648,"E","Male","Rejected"
649,"C","Female","Admitted"
650,"D","Male","Admitted"
651,"D","Female","Admitted"
652,"F","Male","Rejected"
653,"F","Male","Rejected"
654,"A","Male","Admitted"
655,"F","Male","Rejected"
656,"B","Male","Admitted"
657,"A","Male","Admitted"
658,"E","Female","Rejected"
659,"E","Female","Rejected"
660,"A","Male","Admitted"
661,"C","Female","Rejected"
662,"A","Male","Admitted"
663,"A","Male","Admitted"
664,"A","Male","Rejected"
665,"C","Female","Admitted"
666,"B","Male","Admitted"
667,"D","Male","Rejected"
668,"C","Female","Rejected"
669,"D","Female","Rejected"
670,"A","Male","Rejected"
671,"E","Male","Rejected"
672,"D","Male","Admitted"
673,"B","Male","Rejected"
674,"D","Female","Rejected"
675,"B","Male","Admitted"
676,"E","Female","Rejected"
677,"F","Male","Rejected"
678,"D","Male","Admitted"
679,"C","Female","Admitted"
680,"F","Female","Rejected"
681,"F","Male","Rejected"
682,"A","Female","Admitted"
683,"D","Male","Admitted"
684,"C","Female","Rejected"
685,"D","Male","Rejected"
686,"B","Male","Admitted"
687,"F","Male","Rejected"
688,"E","Female","Rejected"
689,"D","Female","Admitted"
690,"C","Female","Admitted"
691,"B","Male","Admitted"
692,"C","Female","Admitted"
693,"A","Male","Rejected"
694,"A","Male","Admitted"
695,"D","Female","Admitted"
696,"F","Female","Rejected"
697,"C","Male","Rejected"
698,"F","Female","Rejected"
699,"C","Male","Admitted"
700,"C","Female","Rejected"
701,"E","Female","Rejected"
702,"C","Female","Rejected"
703,"D","Male","Rejected"
704,"A","Male","Admitted"
705,"D","Male","Admitted"
706,"D","Female","Rejected"
707,"B","Male","Rejected"
708,"F","Female","Rejected"
709,"E","Female","Rejected"
710,"E","Female","Rejected"
711,"D","Male","Rejected"
712,"F","Female","Rejected"
713,"A","Male","Admitted"
714,"C","Male","Admitted"
715,"E","Female","Rejected"
716,"F","Male","Admitted"
717,"B","Male","Admitted"
718,"A","Male","Admitted"
719,"E","Male","Rejected"
720,"F","Female","Rejected"
721,"A","Male","Admitted"
722,"A","Male","Admitted"
723,"C","Female","Rejected"
724,"F","Male","Rejected"
725,"E","Female","Rejected"
726,"A","Male","Rejected"
727,"D","Male","Rejected"
728,"D","Male","Admitted"
729,"F","Male","Rejected"
730,"E","Male","Rejected"
731,"F","Female","Rejected"
732,"C","Female","Rejected"
733,"C","Male","Rejected"
734,"D","Female","Rejected"
735,"F","Female","Rejected"
736,"A","Male","Admitted"
737,"D","Male","Admitted"
738,"C","Female","Admitted"
739,"A","Male","Admitted"
740,"D","Male","Rejected"
741,"C","Female","Admitted"
742,"B","Male","Admitted"
743,"E","Female","Admitted"
744,"C","Female","Admitted"
745,"A","Male","Admitted"
746,"E","Female","Rejected"
747,"B","Male","Admitted"
748,"B","Male","Admitted"
749,"C","Male","Rejected"
750,"A","Male","Rejected"
751,"F","Male","Rejected"
752,"A","Male","Rejected"
753,"C","Female","Rejected"
754,"C","Female","Rejected"
755,"C","Female","Rejected"
756,"C","Male","Rejected"
757,"D","Male","Rejected"
758,"B","Male","Admitted"
759,"C","Female","Rejected"
760,"E","Female","Rejected"
761,"E","Male","Rejected"
762,"E","Female","Rejected"
763,"B","Male","Admitted"
764,"A","Male","Admitted"
765,"F","Female","Rejected"
766,"D","Female","Rejected"
767,"A","Male","Admitted"
768,"A","Male","Admitted"
769,"F","Male","Rejected"
770,"A","Male","Rejected"
771,"A","Male","Admitted"
772,"C","Male","Rejected"
773,"F","Female","Rejected"
774,"C","Female","Rejected"
775,"E","Male","Rejected"
776,"A","Male","Rejected"
777,"A","Male","Rejected"
778,"F","Male","Rejected"
779,"D","Male","Rejected"
780,"F","Female","Rejected"
781,"B","Male","Admitted"
782,"A","Male","Rejected"
783,"C","Male","Rejected"
784,"A","Male","Admitted"
785,"A","Male","Rejected"
786,"A","Male","Rejected"
787,"C","Female","Admitted"
788,"B","Male","Rejected"
789,"D","Male","Admitted"
790,"F","Male","Rejected"
791,"A","Male","Admitted"
792,"E","Female","Rejected"
793,"D","Male","Admitted"
794,"E","Female","Admitted"
795,"F","Male","Rejected"
796,"D","Female","Admitted"
797,"F","Female","Admitted"
798,"A","Male","Admitted"
799,"C","Female","Admitted"
800,"A","Female","Admitted"
801,"C","Male","Admitted"
802,"C","Female","Admitted"
803,"B","Male","Rejected"
804,"B","Male","Admitted"
805,"D","Female","Rejected"
806,"C","Female","Rejected"
807,"B","Male","Rejected"
808,"E","Female","Rejected"
809,"F","Male","Rejected"
810,"C","Female","Rejected"
811,"D","Male","Admitted"
812,"D","Female","Rejected"
813,"D","Female","Rejected"
814,"B","Male","Rejected"
815,"A","Male","Admitted"
816,"F","Male","Rejected"
817,"C","Male","Rejected"
818,"A","Male","Admitted"
819,"C","Female","Admitted"
820,"C","Male","Rejected"
821,"D","Male","Rejected"
822,"A","Male","Admitted"
823,"D","Male","Rejected"
824,"F","Male","Rejected"
825,"E","Female","Rejected"
826,"B","Male","Rejected"
827,"F","Male","Rejected"
828,"F","Female","Admitted"
829,"E","Female","Rejected"
830,"F","Male","Rejected"
831,"A","Male","Rejected"
832,"A","Male","Admitted"
833,"E","Female","Rejected"
834,"E","Male","Admitted"
835,"C","Female","Rejected"
836,"D","Female","Rejected"
837,"A","Male","Admitted"
838,"D","Female","Rejected"
839,"F","Male","Rejected"
840,"B","Male","Admitted"
841,"C","Male","Rejected"
842,"D","Male","Rejected"
843,"E","Male","Rejected"
844,"F","Female","Rejected"
845,"C","Female","Rejected"
846,"B","Male","Admitted"
847,"D","Female","Admitted"
848,"C","Female","Rejected"
849,"A","Male","Rejected"
850,"C","Male","Admitted"
851,"C","Female","Rejected"
852,"C","Male","Rejected"
853,"D","Female","Admitted"
854,"B","Male","Admitted"
855,"C","Female","Admitted"
856,"D","Male","Admitted"
857,"F","Female","Rejected"
858,"D","Female","Admitted"
859,"E","Female","Rejected"
860,"E","Female","Rejected"
861,"D","Female","Rejected"
862,"A","Female","Admitted"
863,"F","Female","Rejected"
864,"A","Female","Rejected"
865,"E","Male","Rejected"
866,"C","Female","Rejected"
867,"E","Female","Admitted"
868,"E","Female","Rejected"
869,"F","Male","Rejected"
870,"B","Male","Admitted"
871,"C","Male","Rejected"
872,"A","Male","Rejected"
873,"E","Female","Admitted"
874,"D","Male","Admitted"
875,"B","Male","Rejected"
876,"C","Female","Rejected"
877,"F","Male","Rejected"
878,"E","Female","Admitted"
879,"F","Female","Rejected"
880,"A","Female","Admitted"
881,"D","Female","Rejected"
882,"F","Female","Rejected"
883,"C","Female","Admitted"
884,"D","Female","Rejected"
885,"A","Male","Rejected"
886,"D","Female","Rejected"
887,"D","Male","Admitted"
888,"C","Female","Rejected"
889,"D","Female","Admitted"
890,"F","Female","Rejected"
891,"E","Male","Rejected"
892,"B","Male","Rejected"
893,"C","Female","Rejected"
894,"C","Female","Rejected"
895,"F","Female","Rejected"
896,"C","Female","Rejected"
897,"C","Male","Admitted"
898,"D","Male","Admitted"
899,"C","Male","Rejected"
900,"F","Male","Rejected"
901,"A","Male","Admitted"
902,"F","Male","Rejected"
903,"A","Male","Admitted"
904,"F","Male","Rejected"
905,"E","Female","Rejected"
906,"E","Male","Rejected"
907,"E","Female","Rejected"
908,"F","Female","Rejected"
909,"D","Female","Rejected"
910,"A","Female","Admitted"
911,"F","Female","Rejected"
912,"E","Female","Rejected"
913,"A","Male","Admitted"
914,"F","Female","Rejected"
915,"E","Female","Admitted"
916,"F","Male","Rejected"
917,"E","Female","Admitted"
918,"B","Male","Admitted"
919,"C","Female","Admitted"
920,"F","Female","Rejected"
921,"A","Male","Admitted"
922,"B","Male","Rejected"
923,"C","Female","Rejected"
924,"D","Male","Rejected"
925,"B","Male","Admitted"
926,"F","Female","Rejected"
927,"D","Male","Rejected"
928,"D","Female","Admitted"
929,"A","Male","Admitted"
930,"B","Male","Admitted"
931,"A","Male","Admitted"
932,"F","Female","Rejected"
933,"B","Male","Admitted"
934,"D","Male","Rejected"
935,"E","Male","Rejected"
936,"D","Male","Rejected"
937,"B","Male","Admitted"
938,"A","Male","Admitted"
939,"D","Female","Rejected"
940,"E","Female","Admitted"
941,"D","Female","Admitted"
942,"D","Male","Rejected"
943,"A","Male","Admitted"
944,"A","Female","Admitted"
945,"E","Male","Rejected"
946,"A","Male","Admitted"
947,"B","Male","Admitted"
948,"E","Female","Admitted"
949,"F","Male","Rejected"
950,"F","Male","Rejected"
951,"B","Male","Admitted"
952,"B","Male","Rejected"
953,"F","Female","Admitted"
954,"D","Male","Rejected"
955,"B","Male","Admitted"
956,"A","Male","Admitted"
957,"A","Male","Rejected"
958,"A","Male","Admitted"
959,"A","Male","Admitted"
960,"F","Male","Rejected"
961,"D","Male","Rejected"
962,"A","Male","Admitted"
963,"E","Female","Admitted"
964,"C","Female","Rejected"
965,"E","Male","Rejected"
966,"C","Male","Admitted"
967,"F","Male","Rejected"
968,"D","Male","Admitted"
969,"C","Male","Rejected"
970,"A","Female","Admitted"
971,"C","Male","Rejected"
972,"D","Female","Admitted"
973,"A","Male","Admitted"
974,"E","Female","Admitted"
975,"D","Male","Admitted"
976,"E","Female","Rejected"
977,"B","Male","Admitted"
978,"E","Female","Admitted"
979,"B","Male","Admitted"
980,"F","Male","Rejected"
981,"C","Female","Rejected"
982,"D","Female","Rejected"
983,"F","Female","Rejected"
984,"C","Female","Rejected"
985,"D","Male","Rejected"
986,"C","Female","Rejected"
987,"E","Female","Rejected"
988,"C","Male","Rejected"
989,"A","Female","Admitted"
990,"B","Male","Rejected"
991,"E","Female","Rejected"
992,"D","Female","Admitted"
993,"B","Male","Admitted"
994,"B","Male","Rejected"
995,"B","Male","Admitted"
996,"B","Male","Admitted"
997,"A","Male","Rejected"
